"id","environment","vm_name","vm_number","vm_cpu","vm_ram","vm_data_disk","vm_template","is_windows","vm_datacenter","vm_cluster","vm_datastore","net1_vlan_id","net1_subnet","net1_mask","net1_gw","net1_ip","net2_vlan_id","net2_subnet","net2_mask","net2_ip","net3_vlan_id","net3_subnet","net3_mask","net3_ip","net4_vlan_id","net4_subnet","net4_mask","net4_ip","resource_pool","vm_folder","full_ip_1","full_ip_2","full_ip_3","full_ip_4"
"1","it","prj-db","1","tiny","small","small","linux-rhel-8.7-socle","false","lab","sequana","vsanDatastore","45","10.45.16","20","10.45.31.254","1","47","10.47.16","20","1","","","","","","","","","xitg","xitg","10.45.16.1","10.47.16.1","",""
"2","it","prj-db","2","tiny","small","tiny","linux-rhel-8.7-socle","false","lab","sequana","vsanDatastore","45","10.45.16","20","10.45.31.254","2","47","10.47.16","20","2","","","","","","","","","xitg","xitg","10.45.16.2","10.47.16.2","",""
"3","it","prj-web","2","tiny","tiny","tiny","linux-rhel-8.7-socle","false","lab","sequana","vsanDatastore","47","10.47.16","20","10.47.31.254","4","48","10.48.16","20","1","","","","","","","","","xitg","xitg","10.47.16.4","10.48.16.1","",""
"4","it","prj-lb","2","tiny","tiny","huge","linux-rhel-8.7-socle","false","lab","sequana","vsanDatastore","48","10.48.16","20","10.48.31.254","6","48","10.48.16","20","","","","","","","","","","xitg","xitg","10.48.16.6","10.48.16.","",""
"5","it","abc-fw","1","tiny","tiny","tiny","linux-rhel-8.7-socle","false","lab","sequana","vsanDatastore","45","10.45.16","20","10.45.31.254","7","45","10.45.16","20","4","","","","","","","","","xitg","xitg","10.45.16.7","10.45.16.4","",""
"6","it","abc-rtr","1","tiny","medium","tiny","linux-rhel-8.7-socle","false","lab","sequana","vsanDatastore","47","10.47.16","20","10.47.31.254","9","45","10.45.16","20","4","","","","","","","","","xitg","xitg","10.47.16.9","10.45.16.4","",""
"7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
"49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".","","",""
